Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,MA,Massachusetts,Hampshire,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,12.6,,,10.4,15.4,161572,25015,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-72.6636936 42.3394593)
2020,MA,Massachusetts,Hampshire,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,73.4,,,69.9,76.8,161572,25015,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-72.6636936 42.3394593)
2020,MA,Massachusetts,Dukes,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,8.3,,,4.9,12.4,21097,25007,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.3,,,24.3,30.4,724505,25021,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Worcester,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.5,,,5.3,7.9,862029,25027,HLTHOUT,COPD,CrdPrv,COPD,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,5.1,,,4.1,6.2,232411,25001,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,25.7,,,22.5,29.0,232411,25001,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Worcester,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,26.1,,,23.4,28.8,862029,25027,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-71.940282 42.3116934)
2020,MA,Massachusetts,Middlesex,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,75.1,,,71.8,77.9,1614742,25017,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Nantucket,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,75.6,,,71.6,79.4,14491,25019,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Hampden,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,13.9,,,11.9,16.1,462718,25013,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Nantucket,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,23.1,,,19.3,27.2,14491,25019,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Nantucket,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14.3,,,12.2,16.6,14491,25019,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-70.1021635 41.2933918)
2020,MA,Massachusetts,Worcester,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80.6,,,77.6,83.4,862029,25027,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Norfolk,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,10.1,,,8.4,12.1,724505,25021,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-71.1811102 42.1717377)
2020,MA,Massachusetts,Hampshire,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,29.4,,,27.7,31.0,161572,25015,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Berkshire,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.8,,,25.7,33.8,128657,25003,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-73.2179276 42.371493)
2021,MA,Massachusetts,Middlesex,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,24.1,,,21.7,26.5,1614742,25017,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Barnstable,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10.6,,,8.7,12.7,232411,25001,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Dukes,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.8,7.1,21097,25007,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Hampden,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.5,,,6.6,8.5,462718,25013,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Essex,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,30.0,,,25.7,34.4,807074,25009,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Essex,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,10.0,,,8.5,11.5,807074,25009,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Middlesex,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.9,,,8.8,11.1,1614742,25017,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.8,,,24.4,34.0,533003,25023,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-70.7419417 41.9871959)
2020,MA,Massachusetts,Suffolk,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,65.8,,,62.6,68.9,771245,25025,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.5,6.8,724505,25021,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-71.1811102 42.1717377)
2020,MA,Massachusetts,Bristol,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,43.6,,,36.7,50.6,580164,25005,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-71.088894 41.7485884)
2020,MA,Massachusetts,Franklin,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,77.8,,,75.0,80.4,71015,25011,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Hampshire,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,5.5,,,4.4,6.7,161572,25015,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Dukes,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.3,,,5.2,7.6,21097,25007,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Suffolk,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,11.0,,,9.9,12.3,771245,25025,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Middlesex,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.4,,,20.2,26.8,1614742,25017,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Essex,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,25.1,,,21.5,28.7,807074,25009,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Berkshire,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.3,,,3.6,5.2,128657,25003,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-73.2179276 42.371493)
2020,MA,Massachusetts,Barnstable,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,77.9,,,73.9,81.7,232411,25001,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,18.0,,,15.0,21.6,724505,25021,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Suffolk,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,4.9,6.3,771245,25025,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.9,,,5.0,6.9,533003,25023,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-70.7419417 41.9871959)
2020,MA,Massachusetts,Suffolk,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.7,,,31.5,33.8,771245,25025,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Norfolk,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,89.0,,,86.6,91.1,724505,25021,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.6,,,4.0,5.4,232411,25001,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Barnstable,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.2,,,6.0,8.4,232411,25001,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,13.8,,,10.5,17.2,533003,25023,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Franklin,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,22.5,,,18.9,26.3,71015,25011,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-72.5917921 42.5845038)
2020,MA,Massachusetts,Hampden,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,44.8,,,38.0,50.8,462718,25013,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Berkshire,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,29.0,,,24.8,33.8,128657,25003,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-73.2179276 42.371493)
2021,MA,Massachusetts,Barnstable,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5.7,,,4.7,6.8,232411,25001,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-70.1648227 41.7061233)
2021,MA,Massachusetts,Essex,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,22.4,,,18.9,26.2,807074,25009,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Dukes,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,22.6,,,18.9,26.4,21097,25007,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Worcester,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,23.1,,,20.6,25.7,862029,25027,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-71.940282 42.3116934)
2021,MA,Massachusetts,Bristol,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.2,,,9.6,13.0,580164,25005,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-71.088894 41.7485884)
2021,MA,Massachusetts,Hampden,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,86.4,,,84.0,88.6,462718,25013,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-72.6356476 42.1361975)
2020,MA,Massachusetts,Middlesex,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,51.2,,,44.0,57.5,1614742,25017,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,15.3,,,13.3,17.7,533003,25023,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Berkshire,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,20.8,,,16.7,25.4,128657,25003,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-73.2179276 42.371493)
2021,MA,Massachusetts,Hampden,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.6,3.3,462718,25013,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-72.6356476 42.1361975)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.2,,,4.1,6.4,724505,25021,HLTHOUT,COPD,CrdPrv,COPD,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Essex,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,30.7,,,27.6,33.6,807074,25009,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-70.8649085 42.6427082)
2021,MA,Massachusetts,Dukes,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.5,,,2.2,2.7,21097,25007,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-70.7014995 41.3809696)
2021,MA,Massachusetts,Essex,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.9,,,8.5,11.3,807074,25009,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-70.8649085 42.6427082)
2020,MA,Massachusetts,Franklin,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,30.5,,,28.8,32.3,71015,25011,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Suffolk,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,19.3,,,17.3,21.6,771245,25025,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Plymouth,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.9,7.1,533003,25023,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Suffolk,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,72.7,,,69.2,75.9,771245,25025,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-71.018253 42.3385513)
2021,MA,Massachusetts,Franklin,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,12.4,,,10.1,14.9,71015,25011,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Nantucket,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3.3,,,2.8,3.8,14491,25019,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-70.1021635 41.2933918)
2020,MA,Massachusetts,Nantucket,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,78.3,,,75.8,80.7,14491,25019,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-70.1021635 41.2933918)
2021,MA,Massachusetts,Plymouth,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,6.3,,,5.3,7.5,533003,25023,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-70.7419417 41.9871959)
2021,MA,Massachusetts,Norfolk,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,10.4,,,8.6,12.4,724505,25021,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-71.1811102 42.1717377)
2021,MA,Massachusetts,Middlesex,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.6,,,2.3,2.9,1614742,25017,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Hampshire,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,6.2,,,5.1,7.3,161572,25015,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Franklin,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.8,,,12.3,17.1,71015,25011,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-72.5917921 42.5845038)
2021,MA,Massachusetts,Suffolk,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.9,,,2.7,3.2,771245,25025,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-71.018253 42.3385513)
2020,MA,Massachusetts,Hampshire,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.0,,,71.7,79.8,161572,25015,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-72.6636936 42.3394593)
2021,MA,Massachusetts,Berkshire,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,11.0,,,9.6,12.4,128657,25003,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-73.2179276 42.371493)
2020,MA,Massachusetts,Middlesex,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,28.5,,,27.1,29.9,1614742,25017,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-71.3949161 42.4817182)
2021,MA,Massachusetts,Essex,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,6.2,,,4.7,8.0,807074,25009,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-70.8649085 42.6427082)
